timestamp,cpu_used_percent,cpu_idle_percent,mem_total_mb,mem_used_mb,disk_usage_percent,network_in_bytes,network_out_bytes,live_connections
2025-10-20 10:20:37.834,44.97,55.03,1024,475.84,40.48,36277,47465,125
2025-10-20 10:25:37.834,38.62,61.38,1024,662.21,40.77,25145,51098,124
2025-10-20 10:30:37.834,46.48,53.52,1024,699.52,41.63,14753,64832,141
2025-10-20 10:35:37.834,55.23,44.77,1024,462.9,42.06,21571,56527,143
2025-10-20 10:40:37.834,37.66,62.34,1024,722.75,42.5,24942,62734,128
2025-10-20 10:45:37.834,37.66,62.34,1024,457.69,43.13,26564,67112,114
2025-10-20 10:50:37.834,55.79,44.21,1024,535.72,44.01,46651,65268,154
2025-10-20 10:55:37.834,47.67,52.33,1024,679.43,44.64,58403,63460,150
2025-10-20 11:00:37.834,25.66,74.34,1024,661.98,45.31,66421,70846,112
2025-10-20 11:05:37.834,35.78,64.22,1024,812.73,45.61,51468,77645,138
2025-10-20 11:10:37.834,25.72,74.28,1024,422.48,46.13,52064,66267,96
2025-10-20 11:15:37.834,25.7,74.3,1024,646.31,46.52,55051,80798,112
2025-10-20 11:20:37.834,32.77,67.23,1024,619.36,47.16,50899,89940,124
2025-10-20 11:25:37.834,11.22,88.78,1024,775.73,47.82,67962,87688,97
2025-10-20 11:30:37.834,13.1,86.9,1024,387.26,48.65,68474,81358,77
2025-10-20 11:35:37.834,24.73,75.27,1024,692.12,48.71,56191,90241,116
2025-10-20 11:40:37.834,20.22,79.78,1024,598.15,49.09,46217,94213,101
2025-10-20 11:45:37.834,33.5,66.5,1024,447.83,49.85,69041,99944,121
2025-10-20 11:50:37.834,21.27,78.73,1024,550.11,50.07,64839,104511,105
2025-10-20 11:55:37.834,16.23,83.77,1024,478.09,50.73,44054,114227,91
2025-10-20 12:00:37.834,34.66,65.34,1024,603.81,51.46,38061,121075,132
2025-10-20 12:05:37.834,17.74,82.26,1024,762.37,51.95,19794,116804,108
2025-10-20 12:10:37.834,20.68,79.32,1024,598.68,52.17,28967,112064,104
2025-10-20 12:15:37.834,5.75,94.25,1024,630.64,52.64,9419,114912,77
2025-10-20 12:20:37.834,14.56,85.44,1024,572.8,53.43,1000,133230,91
2025-10-20 12:25:37.834,21.11,78.89,1024,333.4,54.24,1000,132031,89
2025-10-20 12:30:37.834,8.49,91.51,1024,426.42,54.78,6531,134936,73
2025-10-20 12:35:37.834,23.76,76.24,1024,559.1,55.09,5836,142093,109
2025-10-20 12:40:37.834,13.99,86.01,1024,466.04,55.93,1000,138739,85
2025-10-20 12:45:37.834,17.08,82.92,1024,400.26,56.6,1000,145119,88
2025-10-20 12:50:37.834,13.98,86.02,1024,565.32,56.92,1000,145231,92
2025-10-20 12:55:37.834,38.52,61.48,1024,472.48,57.49,1734,155230,133
2025-10-20 13:00:37.834,9.51,90.49,1024,439.35,58.04,10282,147673,79
2025-10-20 13:05:37.834,0.0,100.0,1024,544.76,58.42,4911,166185,70
2025-10-20 13:10:37.834,17.87,82.13,1024,375.44,58.99,12708,163685,93
2025-10-20 13:15:37.834,0.0,100.0,1024,782.21,59.71,15421,167856,86
2025-10-20 13:20:37.834,11.74,88.26,1024,751.46,60.15,29089,167895,107
2025-10-20 13:25:37.834,0.0,100.0,1024,669.5,60.89,36461,159266,81
2025-10-20 13:30:37.834,0.0,100.0,1024,361.58,61.04,41931,165932,65
2025-10-20 13:35:37.834,11.62,88.38,1024,704.45,61.98,55210,163818,107
2025-10-20 13:40:37.834,17.03,82.97,1024,720.87,62.49,55364,168023,119
2025-10-20 13:45:37.834,11.36,88.64,1024,700.3,63.21,47633,161582,105
2025-10-20 13:50:37.834,8.49,91.51,1024,365.55,63.75,49642,159504,80
2025-10-20 13:55:37.834,6.64,93.36,1024,636.88,64.09,46087,157148,92
2025-10-20 14:00:37.834,0.0,100.0,1024,734.37,64.58,52129,161553,87
2025-10-20 14:05:37.834,0.0,100.0,1024,602.8,64.7,52749,164016,80
2025-10-20 14:10:37.834,0.0,100.0,1024,638.16,65.34,56778,162603,82
2025-10-20 14:15:37.834,10.57,89.43,1024,541.88,65.88,44737,159644,93
2025-10-20 14:20:37.834,3.44,96.56,1024,577.9,66.34,49820,162163,84
2025-10-20 14:25:37.834,0.0,100.0,1024,324.8,66.99,36968,163745,61
2025-10-20 14:30:37.834,3.24,96.76,1024,634.35,67.49,46585,164776,86
2025-10-20 14:35:37.834,0.0,100.0,1024,348.9,68.12,56218,180531,67
2025-10-20 14:40:37.834,0.0,100.0,1024,529.93,68.81,59697,184946,78
2025-10-20 14:45:37.834,6.12,93.88,1024,457.04,69.2,62798,200339,88
2025-10-20 14:50:37.834,10.31,89.69,1024,586.46,69.53,60562,199783,102
2025-10-20 14:55:37.834,9.31,90.69,1024,375.51,69.69,54529,199395,87
2025-10-20 15:00:37.834,0.0,100.0,1024,661.32,70.21,54380,195352,86
2025-10-20 15:05:37.834,0.0,100.0,1024,714.25,70.8,74207,197767,92
2025-10-20 15:10:37.834,0.0,100.0,1024,390.84,71.04,76500,195162,73
2025-10-20 15:15:37.834,1.47,98.53,1024,360.61,71.82,63042,191417,71
2025-10-20 15:20:37.834,0.0,100.0,1024,381.7,72.16,45959,176214,65
2025-10-20 15:25:37.834,0.0,100.0,1024,756.29,72.24,31578,187941,86
2025-10-20 15:30:37.834,0.0,100.0,1024,577.63,73.04,27802,184875,74
2025-10-20 15:35:37.834,0.0,100.0,1024,546.44,73.14,40460,196675,75
2025-10-20 15:40:37.834,0.0,100.0,1024,361.84,73.83,30225,195905,63
2025-10-20 15:45:37.834,5.28,94.72,1024,639.77,74.48,44443,201061,91
2025-10-20 15:50:37.834,0.0,100.0,1024,751.62,75.04,46237,201656,88
2025-10-20 15:55:37.834,1.75,98.25,1024,731.23,75.44,51071,204973,91
2025-10-20 16:00:37.834,0.0,100.0,1024,627.74,76.04,55632,196901,81
2025-10-20 16:05:37.834,0.0,100.0,1024,345.74,76.75,61538,206360,66
2025-10-20 16:10:37.834,0.0,100.0,1024,364.75,77.05,57425,203425,66
2025-10-20 16:15:37.834,0.74,99.26,1024,332.45,77.75,34081,210830,62
2025-10-20 16:20:37.834,0.0,100.0,1024,439.03,78.43,28197,199145,65
2025-10-20 16:25:37.834,1.01,98.99,1024,376.66,78.99,19318,193109,60
2025-10-20 16:30:37.834,0.0,100.0,1024,440.34,79.38,22424,196083,63
2025-10-20 16:35:37.834,0.0,100.0,1024,504.35,80.07,24616,194774,66
2025-10-20 16:40:37.834,0.0,100.0,1024,790.01,80.67,21893,198429,83
2025-10-20 16:45:37.834,0.0,100.0,1024,619.71,80.97,39448,200090,75
2025-10-20 16:50:37.834,0.0,100.0,1024,734.71,81.39,33040,214713,82
2025-10-20 16:55:37.834,0.0,100.0,1024,670.9,82.06,10783,219036,76
2025-10-20 17:00:37.834,0.0,100.0,1024,364.8,82.58,11978,215575,57
2025-10-20 17:05:37.834,0.0,100.0,1024,683.99,83.3,23870,212429,77
2025-10-20 17:10:37.834,0.0,100.0,1024,448.05,83.73,26741,222062,64
2025-10-20 17:15:37.834,0.0,100.0,1024,634.42,84.03,23175,209835,72
2025-10-20 17:20:37.834,0.0,100.0,1024,481.77,84.97,25579,214309,64
2025-10-20 17:25:37.834,0.0,100.0,1024,818.01,85.13,43968,205382,85
2025-10-20 17:30:37.834,0.0,100.0,1024,442.14,85.53,35217,214256,62
2025-10-20 17:35:37.834,0.0,100.0,1024,450.11,86.09,35526,210798,62
2025-10-20 17:40:37.834,0.0,100.0,1024,783.7,86.79,42225,215008,83
2025-10-20 17:45:37.834,0.0,100.0,1024,319.82,87.42,44764,215306,56
2025-10-20 17:50:37.834,0.0,100.0,1024,663.9,88.38,42286,204212,73
2025-10-20 17:55:37.834,0.0,100.0,1024,678.57,88.85,38022,209335,74
2025-10-20 18:00:37.834,0.0,100.0,1024,735.43,89.18,35170,203568,76
2025-10-20 18:05:37.834,0.0,100.0,1024,806.11,89.64,40491,209983,81
2025-10-20 18:10:37.834,0.0,100.0,1024,806.71,90.0,45228,201967,81
2025-10-20 18:15:37.834,0.0,100.0,1024,340.62,90.0,66176,203903,56
2025-10-20 18:20:37.834,0.0,100.0,1024,727.98,90.0,50808,204216,76
2025-10-20 18:25:37.834,0.0,100.0,1024,638.11,90.0,68387,199395,73
2025-10-20 18:30:37.834,0.0,100.0,1024,638.64,90.0,66342,210433,74
2025-10-20 18:35:37.834,0.0,100.0,1024,372.92,90.0,65436,210701,58
2025-10-20 18:40:37.834,0.0,100.0,1024,640.1,90.0,74023,207328,74
2025-10-20 18:45:37.834,0.0,100.0,1024,810.23,90.0,82548,209718,85
2025-10-20 18:50:37.834,0.0,100.0,1024,774.05,90.0,94114,198073,83
2025-10-20 18:55:37.834,0.0,100.0,1024,532.03,90.0,107861,217686,73
2025-10-20 19:00:37.834,0.0,100.0,1024,327.65,90.0,107463,209001,59
2025-10-20 19:05:37.834,0.0,100.0,1024,492.69,90.0,121339,213415,71
2025-10-20 19:10:37.834,0.22,99.78,1024,730.31,90.0,115048,213904,85
2025-10-20 19:15:37.834,0.0,100.0,1024,666.37,90.0,111995,223347,81
2025-10-20 19:20:37.834,0.0,100.0,1024,542.38,90.0,110175,224771,74
2025-10-20 19:25:37.834,0.0,100.0,1024,335.41,90.0,104908,219664,60
2025-10-20 19:30:37.834,0.0,100.0,1024,525.77,90.0,105507,204801,69
2025-10-20 19:35:37.834,0.0,100.0,1024,547.34,90.0,114471,190560,70
2025-10-20 19:40:37.834,0.0,100.0,1024,782.62,90.0,120985,188656,84
2025-10-20 19:45:37.834,6.0,94.0,1024,635.44,90.0,114853,199618,87
2025-10-20 19:50:37.834,0.0,100.0,1024,466.77,90.0,107898,186241,63
2025-10-20 19:55:37.834,0.0,100.0,1024,576.16,90.0,99344,201036,70
2025-10-20 20:00:37.834,0.0,100.0,1024,341.02,90.0,100232,209732,58
2025-10-20 20:05:37.834,0.0,100.0,1024,805.15,90.0,84424,198942,81
2025-10-20 20:10:37.834,0.0,100.0,1024,491.55,90.0,75518,190260,60
2025-10-20 20:15:37.834,0.0,100.0,1024,551.87,90.0,70930,182385,62
2025-10-20 20:20:37.834,0.0,100.0,1024,489.11,90.0,81483,184779,60
2025-10-20 20:25:37.834,0.0,100.0,1024,656.65,90.0,80162,184330,70
2025-10-20 20:30:37.834,0.0,100.0,1024,646.26,90.0,90220,183581,71
2025-10-20 20:35:37.834,0.0,100.0,1024,673.45,90.0,92096,179544,72
2025-10-20 20:40:37.834,0.0,100.0,1024,444.49,90.0,87353,180969,58
2025-10-20 20:45:37.834,7.26,92.74,1024,468.82,90.0,83021,187666,73
2025-10-20 20:50:37.834,0.0,100.0,1024,371.33,90.0,71361,186640,53
2025-10-20 20:55:37.834,0.0,100.0,1024,642.82,90.0,95393,181339,72
2025-10-20 21:00:37.834,0.0,100.0,1024,327.58,90.0,106498,189276,56
2025-10-20 21:05:37.834,0.0,100.0,1024,613.21,90.0,112535,187505,73
2025-10-20 21:10:37.834,0.0,100.0,1024,752.48,90.0,99502,191921,81
